Date;Symbol;StartDate;EndDate;Offer;Close;Change;Std;Volume;Amount;MktCap
12/10/2012;FANG;;;17,5;17,5;0,00 %;;;;
01/10/2013;FATE;;;6;6,62;10,33 %;;;;
18/05/2012;FB;;;38;38,23;0,61 %;;;;
01/08/2014;FCB;;;22;20,94;-4,82 %;;;;
14/10/2015;FDC;;;16;15,75;-1,56 %;;;;
22/06/2011;FDUS;;;15;15;0,00 %;;;;
18/06/2014;FELP;;;20;19;-5,00 %;;;;
12/05/2011;FENG;;;11;14,75;34,09 %;;;;
14/05/2015;FENX;;;8;8,44;5,50 %;;;;
12/04/2012;FET;;;20;21,75;8,75 %;;;;
20/09/2013;FEYE;;;20;36;80,00 %;;;;
14/11/2014;FGEN;;;18;22;22,22 %;;;;
13/12/2013;FGL;;;17;18,86;10,94 %;;;;
09/08/2013;FI;;;22;26,35;19,77 %;;;;
24/03/2010;FIBK;;;14,5;15,7;8,28 %;;;;
09/06/2011;FIO;;;19;22,5;18,42 %;;;;
26/07/2013;FISH;;;20;19,5;-2,50 %;;;;
18/06/2015;FIT;;;20;29,68;48,40 %;;;;
19/07/2012;FIVE;;;17;26,5;55,88 %;;;;
04/04/2014;FIVN;;;7;7,64;9,14 %;;;;
10/02/2011;FLDM;;;13,5;14,02;3,85 %;;;;
29/01/2015;FLKS;;;16;14,95;-6,56 %;;;;
15/12/2010;FLT;;;23;27,75;20,65 %;;;;
05/10/2012;FLTX;;;17;22,3;31,18 %;;;;
12/02/2014;FLXN;;;13;14,71;13,15 %;;;;
25/09/2013;FMI;;;18;35,35;96,39 %;;;;
03/10/2014;FMSA;;;16;16,01;0,06 %;;;;
25/06/2010;FN;;;10;10,75;7,50 %;;;;
16/03/2010;FNGN;;;12;17,25;43,75 %;;;;
19/06/2015;FOGO;;;20;25,75;28,75 %;;;;
18/09/2014;FOMX;;;6;6,22;3,67 %;;;;
08/08/2013;FOXF;;;15;18,61;24,07 %;;;;
11/04/2014;FPI;;;14;12,98;-7,29 %;;;;
18/09/2013;FPRX;;;13;13,08;0,62 %;;;;
22/07/2011;FRAN;;;17;27,65;62,65 %;;;;
09/12/2010;FRC;;;25,5;27,92;9,49 %;;;;
17/12/2010;FRF;;;11;11;0,00 %;;;;
07/11/2014;FRPT;;;15;19,11;27,40 %;;;;
